year,team_1,team_2,score_1,score_2,ranking_1,ranking_2
1998,Brazil,Scotland,2,1,1.0,37.0
1998,Morocco,Norway,2,2,12.0,14.0
1998,Scotland,Norway,1,1,37.0,14.0
1998,Brazil,Morocco,3,0,1.0,12.0
1998,Scotland,Morocco,0,3,37.0,12.0
1998,Brazil,Norway,1,2,1.0,14.0
1998,Cameroon,Austria,1,1,40.0,19.0
1998,Italy,Chile,2,2,7.0,16.0
1998,Chile,Austria,1,1,16.0,19.0
1998,Italy,Cameroon,3,0,7.0,40.0
1998,Italy,Austria,2,1,7.0,19.0
1998,Chile,Cameroon,1,1,16.0,40.0
1998,Saudi Arabia,Denmark,0,1,29.0,19.0
1998,France,South Africa,3,0,2.0,26.0
1998,France,Saudi Arabia,4,0,2.0,29.0
1998,South Africa,Denmark,1,1,26.0,19.0
1998,France,Denmark,2,1,2.0,19.0
1998,South Africa,Saudi Arabia,2,2,26.0,29.0
1998,Paraguay,Bulgaria,0,0,19.0,49.0
1998,Spain,Nigeria,2,3,14.0,60.0
1998,Nigeria,Bulgaria,1,0,60.0,49.0
1998,Spain,Paraguay,0,0,14.0,19.0
1998,Spain,Bulgaria,6,1,14.0,49.0
1998,Nigeria,Paraguay,1,3,60.0,19.0
1998,Netherlands,Belgium,0,0,10.0,35.0
1998,South Korea,Mexico,1,3,,10.0
1998,Netherlands,South Korea,5,0,10.0,
1998,Belgium,Mexico,2,2,35.0,10.0
1998,Belgium,South Korea,1,1,35.0,
1998,Netherlands,Mexico,2,2,10.0,10.0
1998,Yugoslavia,Iran,1,0,6.0,
1998,Germany,USA,2,0,3.0,19.0
1998,Germany,Yugoslavia,2,2,3.0,6.0
1998,USA,Iran,1,2,19.0,
1998,Germany,Iran,2,0,3.0,
1998,USA,Yugoslavia,0,1,19.0,6.0
1998,Romania,Colombia,1,0,12.0,31.0
1998,England,Tunisia,2,0,9.0,19.0
1998,Colombia,Tunisia,1,0,31.0,19.0
1998,Romania,England,2,1,12.0,9.0
1998,Romania,Tunisia,1,1,12.0,19.0
1998,Colombia,England,0,2,31.0,9.0
1998,Jamaica,Croatia,1,3,31.0,3.0
1998,Argentina,Japan,1,0,5.0,19.0
1998,Japan,Croatia,0,1,19.0,3.0
1998,Argentina,Jamaica,5,0,5.0,31.0
1998,Japan,Jamaica,1,2,19.0,31.0
1998,Argentina,Croatia,1,0,5.0,3.0
1990,Italy,Austria,1,0,,
1990,United States,Czechoslovakia,1,5,,
1990,Italy,United States,1,0,,
1990,Austria,Czechoslovakia,0,1,,
1990,Italy,Czechoslovakia,2,0,,
1990,Austria,United States,2,1,,
1990,Argentina,Cameroon,0,1,,
1990,Soviet Union,Romania,0,2,,
1990,Argentina,Soviet Union,2,0,,
1990,Cameroon,Romania,2,1,,
1990,Argentina,Romania,1,1,,
1990,Cameroon,Soviet Union,0,4,,
1990,Brazil,Sweden,2,1,,
1990,Costa Rica,Scotland,1,0,,
1990,Brazil,Costa Rica,1,0,,
1990,Sweden,Scotland,1,2,,
1990,Brazil,Scotland,1,0,,
1990,Sweden,Costa Rica,1,2,,
1990,United Arab Emirates,Colombia,0,2,,
1990,West Germany,Yugoslavia,4,1,,
1990,Yugoslavia,Colombia,1,0,,
1990,West Germany,United Arab Emirates,5,1,,
1990,West Germany,Colombia,1,1,,
1990,Yugoslavia,United Arab Emirates,4,1,,
1990,Belgium,South Korea,2,0,,
1990,Uruguay,Spain,0,0,,
1990,Belgium,Uruguay,3,1,,
1990,South Korea,Spain,1,3,,
1990,Belgium,Spain,1,2,,
1990,South Korea,Uruguay,0,1,,
1990,England,Ireland,1,1,,
1990,Netherlands,Egypt,1,1,,
1990,England,Netherlands,0,0,,
1990,Ireland,Egypt,0,0,,
1990,England,Egypt,1,0,,
1990,Ireland,Netherlands,1,1,,
1994,USA,Switzerland,1,1,22.0,7.0
1994,Colombia,Romania,1,3,17.0,10.0
1994,Romania,Switzerland,1,4,10.0,7.0
1994,USA,Colombia,2,1,22.0,17.0
1994,USA,Romania,0,1,22.0,10.0
1994,Switzerland,Colombia,0,2,7.0,17.0
1994,Cameroon,Sweden,2,2,29.0,3.0
1994,Brazil,Russia,2,0,1.0,12.0
1994,Brazil,Cameroon,3,0,1.0,29.0
1994,Sweden,Russia,3,1,3.0,12.0
1994,Russia,Cameroon,6,1,12.0,29.0
1994,Brazil,Sweden,1,1,1.0,3.0
1994,Germany,Bolivia,1,0,3.0,42.0
1994,Spain,Korea,2,2,2.0,
1994,Germany,Spain,1,1,3.0,2.0
1994,Korea,Bolivia,0,0,,42.0
1994,Bolivia,Spain,1,3,42.0,2.0
1994,Germany,Korea,3,2,3.0,
1994,Argentina,Greece,4,0,10.0,27.0
1994,Nigeria,Bulgaria,3,0,12.0,12.0
1994,Argentina,Nigeria,2,1,10.0,12.0
1994,Greece,Bulgaria,0,4,27.0,12.0
1994,Greece,Nigeria,0,2,27.0,12.0
1994,Argentina,Bulgaria,0,2,10.0,12.0
1994,Italy,Ireland,0,1,3.0,
1994,Norway,Mexico,1,0,7.0,12.0
1994,Italy,Norway,1,0,3.0,7.0
1994,Mexico,Ireland,2,1,12.0,
1994,Ireland,Norway,0,0,,7.0
1994,Italy,Mexico,1,1,3.0,12.0
1994,Belgium,Morocco,1,0,24.0,32.0
1994,Netherlands,Arabia,2,1,6.0,
1994,Belgium,Netherlands,1,0,24.0,6.0
1994,Arabia,Morocco,2,1,,32.0
1994,Morocco,Netherlands,1,2,32.0,6.0
1994,Belgium,Arabia,0,1,24.0,
2014,Uruguay,Rica,1,3,10.0,
2014,England,Italy,1,2,13.0,11.0
2014,Uruguay,England,2,1,10.0,13.0
2014,Italy,Rica,0,1,11.0,
2014,Italy,Uruguay,0,1,11.0,10.0
2014,Rica,England,0,0,,13.0
2014,Switzerland,Ecuador,2,1,12.0,26.0
2014,France,Honduras,3,0,7.0,71.0
2014,Switzerland,France,2,5,12.0,7.0
2014,Honduras,Ecuador,1,2,71.0,26.0
2014,Honduras,Switzerland,0,3,71.0,12.0
2014,Ecuador,France,0,0,26.0,7.0
2014,Argentina,Bosnia,2,1,2.0,
2014,Iran,Nigeria,0,0,,43.0
2014,Argentina,Iran,1,0,2.0,
2014,Nigeria,Bosnia,1,0,43.0,
2014,Nigeria,Argentina,2,3,43.0,2.0
2014,Bosnia,Iran,3,1,,
2014,Germany,Portugal,4,0,1.0,7.0
2014,Ghana,USA,1,2,37.0,27.0
2014,Germany,Ghana,2,2,1.0,37.0
2014,USA,Portugal,2,2,27.0,7.0
2014,USA,Germany,0,1,27.0,1.0
2014,Portugal,Ghana,2,1,7.0,37.0
2014,Belgium,Algeria,2,1,4.0,18.0
2014,Russia,Korea,1,1,31.0,
2014,Belgium,Russia,1,0,4.0,31.0
2014,Korea,Algeria,2,4,,18.0
2014,Korea,Belgium,0,1,,4.0
2014,Algeria,Russia,1,1,18.0,31.0
2010,South Africa,Mexico,1,1,51.0,27.0
2010,Uruguay,France,0,0,7.0,18.0
2010,South Africa,Uruguay,0,3,51.0,7.0
2010,France,Mexico,0,2,18.0,27.0
2010,Mexico,Uruguay,0,1,27.0,7.0
2010,France,South Africa,1,2,18.0,51.0
2010,South Korea,Greece,2,0,,11.0
2010,Argentina,Nigeria,1,0,5.0,32.0
