id,match_number,home_team_id,away_team_id,city_id,stage_id,kickoff_at,match_label,team_1_name,team_2_name
1,1,1.0,2.0,15,1,2026-06-11 15:00:00-06,Group A,Mexico,South Africa
2,2,3.0,4.0,14,1,2026-06-11 22:00:00-06,Group A,South Korea,Czechia
3,3,5.0,6.0,12,1,2026-06-12 15:00:00-04,Group B,Canada,Bosnia and Herzegovina
4,4,13.0,14.0,6,1,2026-06-12 21:00:00-07,Group D,USA,Paraguay
5,5,7.0,8.0,10,1,2026-06-13 15:00:00-07,Group B,Qatar,Switzerland
6,6,9.0,10.0,8,1,2026-06-13 18:00:00-04,Group C,Brazil,Morocco
7,7,11.0,12.0,2,1,2026-06-13 21:00:00-04,Group C,Haiti,Scotland
8,8,15.0,16.0,13,1,2026-06-14 00:00:00-07,Group D,Australia,Turkey
9,9,17.0,18.0,4,1,2026-06-14 13:00:00-05,Group E,Germany,Curaçao
10,10,21.0,22.0,3,1,2026-06-14 16:00:00-05,Group F,Netherlands,Japan
11,11,19.0,20.0,9,1,2026-06-14 19:00:00-04,Group E,Côte d'Ivoire,Ecuador
12,12,23.0,24.0,16,1,2026-06-14 22:00:00-06,Group F,Sweden,Tunisia
13,13,29.0,30.0,1,1,2026-06-15 12:00:00-04,Group H,Spain,Cabo Verde
14,14,25.0,26.0,11,1,2026-06-15 15:00:00-07,Group G,Belgium,Egypt
15,15,31.0,32.0,7,1,2026-06-15 18:00:00-04,Group H,Saudi Arabia,Uruguay
16,16,27.0,28.0,6,1,2026-06-15 21:00:00-07,Group G,IR Iran,New Zealand
17,17,33.0,34.0,8,1,2026-06-16 15:00:00-04,Group I,France,Senegal
18,18,35.0,36.0,2,1,2026-06-16 18:00:00-04,Group I,Iraq,Norway
19,19,37.0,38.0,5,1,2026-06-16 21:00:00-05,Group J,Argentina,Algeria
20,20,39.0,40.0,10,1,2026-06-17 00:00:00-07,Group J,Austria,Jordan
21,21,41.0,42.0,4,1,2026-06-17 13:00:00-05,Group K,Portugal,DR Congo
22,22,45.0,46.0,3,1,2026-06-17 16:00:00-05,Group L,England,Croatia
23,23,47.0,48.0,12,1,2026-06-17 19:00:00-04,Group L,Ghana,Panama
24,24,43.0,44.0,15,1,2026-06-17 22:00:00-06,Group K,Uzbekistan,Colombia
25,25,4.0,2.0,1,1,2026-06-18 12:00:00-04,Group A,Czechia,South Africa
26,26,8.0,6.0,6,1,2026-06-18 15:00:00-07,Group B,Switzerland,Bosnia and Herzegovina
