,team1,team2,IwanModel_t1_score,IwanModel_t2_score,AngusModel_t1_score,AngusModel_t2_score
0,Mexico,South Africa,2,0,4,0
1,South Korea,Czechia,1,1,1,0
2,Canada,Bosnia and Herzegovina,1,0,1,0
3,USA,Paraguay,2,1,2,1
4,Qatar,Switzerland,0,1,0,4
5,Brazil,Morocco,0,1,3,0
6,Haiti,Scotland,0,1,0,1
7,Australia,Turkey,1,2,1,1
8,Germany,Curaçao,2,0,4,0
9,Netherlands,Japan,1,0,1,0
10,Côte d'Ivoire,Ecuador,1,2,1,0
11,Sweden,Tunisia,2,1,0,0
12,Spain,Cabo Verde,1,0,3,0
13,Belgium,Egypt,1,0,1,2
14,Saudi Arabia,Uruguay,0,1,0,1
15,IR Iran,New Zealand,0,0,4,0
16,France,Senegal,3,0,1,0
17,Iraq,Norway,0,3,2,1
18,Argentina,Algeria,2,1,0,1
19,Austria,Jordan,3,1,7,1
20,Portugal,DR Congo,1,0,4,0
21,England,Croatia,1,0,2,2
22,Ghana,Panama,2,1,0,1
23,Uzbekistan,Colombia,0,1,1,1
24,Czechia,South Africa,1,1,3,0
25,Switzerland,Bosnia and Herzegovina,3,0,3,1
26,Canada,Qatar,2,0,0,0
27,Mexico,South Korea,2,1,0,0
28,USA,Australia,2,1,2,1
29,Scotland,Morocco,0,1,0,2
30,Brazil,Haiti,2,0,4,0
31,Turkey,Paraguay,3,1,1,1
32,Netherlands,Sweden,1,0,5,0
33,Germany,Côte d'Ivoire,1,1,2,1
34,Ecuador,Curaçao,1,0,1,0
35,Tunisia,Japan,1,1,0,3
36,Spain,Saudi Arabia,3,0,4,0
37,Belgium,IR Iran,3,2,1,1
38,Uruguay,Cabo Verde,1,0,5,0
39,New Zealand,Egypt,1,1,0,3
40,Argentina,Austria,3,1,4,0
41,France,Iraq,3,0,1,0
42,Norway,Senegal,2,0,2,3
43,Jordan,Algeria,0,0,0,1
44,Portugal,Uzbekistan,4,0,1,1
45,England,Ghana,1,0,0,0
46,Panama,Croatia,0,1,0,0
47,Colombia,DR Congo,1,0,2,2
48,Switzerland,Canada,3,0,1,0
49,Bosnia and Herzegovina,Qatar,0,0,3,2
50,Scotland,Brazil,0,3,0,2
51,Morocco,Haiti,1,0,3,0
52,Czechia,Mexico,1,2,0,4
53,South Africa,South Korea,0,0,1,1
54,Curaçao,Côte d'Ivoire,1,1,0,2
55,Ecuador,Germany,0,2,3,1
56,Japan,Sweden,1,1,2,2
57,Tunisia,Netherlands,0,2,0,1
58,Turkey,USA,1,1,1,1
59,Paraguay,Australia,1,1,2,2
60,Norway,France,0,0,0,4
61,Senegal,Iraq,3,1,3,0
62,Cabo Verde,Saudi Arabia,0,0,1,1
63,Uruguay,Spain,0,3,2,0
64,Egypt,IR Iran,0,2,0,2
65,New Zealand,Belgium,0,3,0,2
66,Panama,England,0,2,0,1
67,Croatia,Ghana,0,0,2,0
68,Colombia,Portugal,0,0,1,1
69,DR Congo,Uzbekistan,1,0,2,0
70,Algeria,Austria,1,2,1,0
71,Jordan,Argentina,0,5,0,1
