year,is_knockout,team_1_score,team_2_score,team_1_name,team_1_is_home_nation,team_1_top_goalscorers_count,team_1_premier_league_players,team_1_laliga_players,team_1_serie_a_players,team_1_bundesliga_players,team_1_ligue_1_players,team_1_players_finishing_top_three_europe_domestic,team_1_n_unique_clubs,team_1_qualified_last_time,team_1_made_r16_last_time,team_1_made_quarters_last_time,team_1_made_semis_last_time,team_1_made_final_last_time,team_1_ranking,team_2_name,team_2_is_home_nation,team_2_top_goalscorers_count,team_2_premier_league_players,team_2_laliga_players,team_2_serie_a_players,team_2_bundesliga_players,team_2_ligue_1_players,team_2_players_finishing_top_three_europe_domestic,team_2_n_unique_clubs,team_2_qualified_last_time,team_2_made_r16_last_time,team_2_made_quarters_last_time,team_2_made_semis_last_time,team_2_made_final_last_time,team_2_ranking
1998,0,2,1,brazil,0,2,0,3,6,1,0,5,16,1,1,1,1,1,1,scotland,0,0,7,0,0,0,1,1,12,0,0,0,0,0,41
1998,0,2,2,morocco,0,0,0,4,1,0,1,3,18,1,0,0,0,0,13,norway,0,0,11,1,0,2,0,5,15,1,0,0,0,0,7
1998,0,1,1,scotland,0,0,7,0,0,0,1,1,12,0,0,0,0,0,41,norway,0,0,11,1,0,2,0,5,15,1,0,0,0,0,7
1998,0,3,0,brazil,0,2,0,3,6,1,0,5,16,1,1,1,1,1,1,morocco,0,0,0,4,1,0,1,3,18,1,0,0,0,0,13
1998,0,0,3,scotland,0,0,7,0,0,0,1,1,12,0,0,0,0,0,41,morocco,0,0,0,4,1,0,1,3,18,1,0,0,0,0,13
1998,0,1,2,brazil,0,2,0,3,6,1,0,5,16,1,1,1,1,1,1,norway,0,0,11,1,0,2,0,5,15,1,0,0,0,0,7
1998,0,1,1,cameroon,0,0,2,1,1,1,4,1,21,1,0,0,0,0,49,austria,0,0,1,1,1,5,1,1,14,0,0,0,0,0,31
1998,0,2,2,italy,0,2,1,1,20,0,0,8,10,1,1,1,1,1,14,chile,0,0,0,0,1,0,0,1,10,0,0,0,0,0,9
1998,0,1,1,chile,0,0,0,0,1,0,0,1,10,0,0,0,0,0,9,austria,0,0,1,1,1,5,1,1,14,0,0,0,0,0,31
1998,0,3,0,italy,0,2,1,1,20,0,0,8,10,1,1,1,1,1,14,cameroon,0,0,2,1,1,1,4,1,21,1,0,0,0,0,49
